"","dead","dvcat","seatbelt","frontal","sex","ageOFocc","yearVeh","airbag","occRole"
"8576","alive","25-39","none","notfrontal","m",52,1996,"airbag","driver"
"8291","dead","25-39","belted","frontal","f",88,1969,"none","pass"
"11771","alive","25-39","none","frontal","m",17,1988,"none","driver"
"17838","alive","10-24","belted","notfrontal","m",22,1998,"airbag","driver"
"14644","alive","10-24","belted","notfrontal","f",20,1989,"none","driver"
"7667","alive","10-24","belted","frontal","f",75,1989,"none","driver"
"7125","alive","40-54","none","frontal","m",18,1987,"none","driver"
"13079","alive","25-39","belted","frontal","m",20,1994,"none","driver"
"869","alive","10-24","belted","notfrontal","f",32,1995,"none","driver"
"2935","alive","10-24","belted","notfrontal","m",37,1987,"none","driver"
"24639","dead","55+","belted","frontal","f",32,1987,"none","driver"
"3894","alive","1-9km/h","belted","frontal","m",45,1978,"none","driver"
"20138","alive","1-9km/h","belted","notfrontal","m",36,1991,"airbag","driver"
"13920","alive","40-54","belted","frontal","f",38,1988,"none","driver"
"12729","alive","40-54","none","frontal","m",43,1988,"none","driver"
"4549","alive","40-54","none","frontal","m",34,1995,"airbag","pass"
"24692","alive","10-24","belted","frontal","f",43,2002,"airbag","driver"
"14493","alive","10-24","belted","frontal","m",56,1993,"none","driver"
"8563","alive","55+","belted","frontal","f",20,1998,"airbag","driver"
"5807","alive","25-39","belted","frontal","m",20,1990,"none","driver"
"11682","alive","25-39","belted","frontal","f",57,1983,"none","driver"
"17191","alive","25-39","belted","frontal","f",22,1997,"airbag","driver"
"4497","alive","10-24","none","frontal","m",45,1989,"none","driver"
"3784","alive","25-39","none","frontal","m",19,1991,"none","pass"
"11810","alive","25-39","belted","frontal","f",41,1997,"airbag","pass"
"4570","alive","10-24","belted","frontal","m",58,1994,"airbag","driver"
"16791","alive","10-24","belted","notfrontal","m",30,1995,"airbag","driver"
"25015","alive","1-9km/h","belted","notfrontal","f",17,1970,"none","driver"
"12893","alive","10-24","belted","frontal","m",31,1996,"airbag","pass"
"4179","alive","10-24","none","frontal","f",27,1997,"airbag","driver"
"7103","dead","55+","none","frontal","m",81,1989,"none","driver"
"7014","alive","10-24","belted","notfrontal","m",57,1995,"airbag","driver"
"17303","alive","10-24","belted","notfrontal","m",20,1984,"none","pass"
"12988","alive","10-24","belted","frontal","m",48,1993,"none","pass"
"2706","alive","10-24","belted","notfrontal","m",17,1994,"airbag","pass"
"9184","dead","40-54","none","frontal","m",16,1995,"airbag","driver"
"19732","alive","10-24","belted","frontal","f",31,1994,"airbag","driver"
"6422","alive","10-24","belted","notfrontal","f",41,1993,"airbag","driver"
"15737","alive","10-24","belted","notfrontal","m",27,1989,"none","pass"
"24441","alive","10-24","belted","notfrontal","m",33,2000,"airbag","driver"
"16783","alive","55+","none","frontal","f",50,1986,"none","driver"
"2465","alive","10-24","none","notfrontal","m",36,1988,"none","driver"
"5000","alive","25-39","belted","frontal","m",17,1989,"none","driver"
"3715","alive","25-39","belted","frontal","m",28,1995,"airbag","driver"
"15072","alive","10-24","none","frontal","m",20,1996,"airbag","driver"
"12979","alive","25-39","belted","frontal","m",19,1989,"none","pass"
"15428","alive","10-24","none","frontal","m",29,2000,"airbag","driver"
"9769","alive","10-24","belted","frontal","f",79,1992,"airbag","driver"
"20447","alive","25-39","belted","frontal","f",19,1990,"none","driver"
"12541","alive","1-9km/h","belted","notfrontal","m",22,1996,"airbag","driver"
"6739","alive","10-24","none","frontal","m",34,1984,"none","driver"
"21347","dead","40-54","belted","notfrontal","f",56,1997,"airbag","driver"
"7938","alive","25-39","belted","frontal","m",21,1997,"airbag","driver"
"5544","alive","10-24","belted","frontal","m",17,1989,"none","driver"
"5370","alive","10-24","belted","frontal","f",18,1991,"none","driver"
"21955","alive","10-24","belted","frontal","f",35,1999,"airbag","pass"
"19072","alive","55+","belted","frontal","m",26,1994,"none","driver"
"18946","alive","25-39","belted","notfrontal","f",16,1999,"airbag","pass"
"4708","alive","10-24","belted","frontal","f",79,1988,"none","driver"
"7419","alive","10-24","none","frontal","f",65,1997,"airbag","pass"
"13526","alive","10-24","belted","frontal","f",61,1988,"none","pass"
"1581","dead","40-54","belted","notfrontal","f",21,1995,"airbag","driver"
"11753","alive","25-39","none","frontal","f",35,1999,"airbag","driver"
"8285","alive","25-39","none","frontal","m",20,1985,"none","pass"
"12319","alive","10-24","belted","frontal","f",63,1996,"airbag","driver"
"8146","alive","25-39","belted","frontal","m",19,1995,"airbag","pass"
"16467","alive","25-39","none","frontal","f",19,1998,"airbag","pass"
"13224","alive","25-39","belted","notfrontal","f",71,1995,"airbag","pass"
"7482","alive","25-39","belted","frontal","m",34,1997,"airbag","driver"
"14168","alive","25-39","belted","notfrontal","f",66,1993,"airbag","driver"
"9888","alive","10-24","none","frontal","f",61,1999,"airbag","driver"
"20735","alive","10-24","belted","frontal","m",59,1989,"none","driver"
"18102","alive","10-24","belted","notfrontal","m",38,1995,"airbag","driver"
"15379","alive","40-54","none","frontal","f",33,1999,"airbag","pass"
"14671","alive","10-24","belted","notfrontal","m",76,1995,"airbag","driver"
"23331","alive","40-54","none","frontal","m",50,2002,"airbag","driver"
"9452","alive","10-24","belted","notfrontal","m",28,1995,"airbag","driver"
"8523","alive","10-24","belted","frontal","f",39,1991,"none","driver"
"25240","alive","10-24","belted","notfrontal","m",20,1998,"airbag","pass"
"10268","alive","25-39","none","frontal","f",26,1988,"none","driver"
"17111","alive","10-24","belted","notfrontal","m",38,1997,"airbag","driver"
"14984","alive","10-24","belted","notfrontal","f",32,1983,"none","driver"
"25038","alive","40-54","belted","frontal","m",23,1989,"none","driver"
"21621","alive","25-39","belted","notfrontal","f",40,1995,"airbag","driver"
"12861","alive","25-39","belted","notfrontal","m",29,1990,"airbag","driver"
"12168","alive","10-24","none","frontal","f",17,1987,"none","driver"
"2064","alive","25-39","belted","frontal","m",80,1995,"airbag","driver"
"9727","alive","40-54","none","frontal","f",27,1991,"none","pass"
"22930","alive","10-24","belted","notfrontal","f",64,2002,"airbag","driver"
"22450","alive","10-24","none","frontal","m",46,2001,"airbag","driver"
"10199","alive","40-54","none","frontal","m",37,1989,"none","driver"
"22326","alive","25-39","belted","notfrontal","f",43,1993,"airbag","driver"
"25300","alive","10-24","belted","notfrontal","f",37,2002,"airbag","driver"
"13608","dead","55+","belted","notfrontal","f",26,1999,"airbag","driver"
"14380","dead","55+","none","frontal","m",41,1990,"none","pass"
"23724","alive","10-24","belted","notfrontal","f",72,1993,"none","pass"
"24438","alive","10-24","belted","frontal","f",28,1999,"airbag","driver"
"23826","alive","55+","belted","frontal","m",20,2000,"airbag","driver"
"16473","alive","10-24","belted","frontal","f",42,1986,"none","driver"
"19208","alive","10-24","belted","frontal","m",20,1993,"airbag","driver"
"7708","alive","10-24","belted","notfrontal","f",62,1998,"airbag","pass"
"13850","alive","10-24","belted","frontal","f",35,1986,"none","pass"
"11639","alive","10-24","belted","notfrontal","f",49,1997,"airbag","driver"
"10592","alive","10-24","belted","frontal","m",30,1997,"airbag","driver"
"16589","alive","10-24","belted","notfrontal","m",27,1996,"airbag","pass"
"2813","alive","40-54","belted","notfrontal","m",19,1992,"none","driver"
"25696","alive","10-24","belted","notfrontal","f",51,2000,"airbag","driver"
"13704","dead","55+","belted","notfrontal","f",58,1986,"none","driver"
"20585","dead","40-54","none","frontal","m",76,1990,"none","pass"
"17623","alive","10-24","belted","frontal","f",56,2000,"airbag","driver"
"8327","alive","10-24","none","frontal","f",37,1994,"airbag","driver"
"22057","alive","10-24","belted","frontal","f",48,1999,"airbag","driver"
"14152","alive","25-39","belted","notfrontal","m",16,1992,"airbag","driver"
"11666","alive","10-24","belted","notfrontal","f",17,1987,"none","pass"
"10688","alive","40-54","none","frontal","m",24,1991,"airbag","driver"
"6309","alive","25-39","belted","frontal","m",16,1994,"airbag","pass"
"22629","alive","25-39","belted","notfrontal","f",18,1999,"airbag","driver"
"652","alive","10-24","none","frontal","m",42,1994,"none","driver"
"21454","alive","55+","none","notfrontal","m",18,2000,"airbag","driver"
"22083","alive","10-24","none","frontal","m",26,1993,"none","pass"
"24410","alive","40-54","belted","frontal","m",62,2001,"airbag","driver"
"23221","alive","10-24","belted","notfrontal","f",45,2000,"airbag","driver"
"2668","alive","40-54","belted","notfrontal","f",48,1993,"none","pass"
"2079","alive","10-24","belted","frontal","m",40,1994,"none","driver"
"8270","alive","10-24","belted","frontal","f",17,1991,"none","driver"
"1195","alive","10-24","belted","frontal","f",61,1997,"airbag","driver"
"15155","alive","10-24","belted","frontal","f",20,1997,"airbag","pass"
"13440","alive","25-39","none","frontal","m",61,1995,"airbag","driver"
"14780","alive","25-39","belted","frontal","f",43,1995,"airbag","driver"
"15291","alive","25-39","none","notfrontal","m",72,1989,"none","driver"
"19139","alive","25-39","belted","frontal","f",34,1993,"none","driver"
"5850","alive","10-24","none","notfrontal","m",21,1996,"airbag","pass"
"18072","alive","25-39","belted","frontal","m",16,1995,"airbag","driver"
"9042","alive","10-24","belted","frontal","f",23,1984,"none","driver"
"7853","alive","40-54","belted","frontal","m",44,1993,"none","driver"
"17156","alive","10-24","none","frontal","m",50,1994,"airbag","driver"
"1085","alive","10-24","belted","frontal","m",19,1990,"none","driver"
"17888","alive","25-39","none","frontal","m",61,1996,"airbag","driver"
"24317","alive","55+","none","notfrontal","m",19,2002,"airbag","pass"
"20910","alive","10-24","belted","notfrontal","f",17,1991,"none","pass"
"8597","alive","25-39","none","frontal","m",67,1997,"airbag","driver"
"18046","dead","25-39","belted","frontal","m",92,1996,"airbag","driver"
"1755","alive","10-24","belted","frontal","f",20,1995,"airbag","driver"
"8075","alive","25-39","belted","notfrontal","f",77,1987,"none","driver"
"8806","alive","10-24","belted","notfrontal","f",44,1998,"airbag","driver"
"8157","alive","25-39","none","frontal","m",39,1984,"none","driver"
"7036","alive","40-54","belted","frontal","m",48,1990,"airbag","pass"
"16769","alive","10-24","none","frontal","f",25,1990,"none","driver"
"9808","alive","10-24","belted","frontal","m",38,1989,"none","pass"
"24926","alive","25-39","none","frontal","m",21,1992,"none","pass"
"15706","alive","25-39","belted","frontal","f",19,1995,"airbag","driver"
"24413","alive","40-54","belted","frontal","f",29,1997,"airbag","pass"
"12087","alive","10-24","belted","notfrontal","m",25,1999,"airbag","driver"
"15170","alive","10-24","belted","notfrontal","m",19,1999,"airbag","pass"
"25717","alive","40-54","belted","frontal","m",34,1988,"none","driver"
"12267","alive","10-24","belted","notfrontal","m",29,1996,"airbag","driver"
"22316","alive","10-24","belted","frontal","m",40,2002,"airbag","driver"
"12375","alive","55+","belted","notfrontal","m",25,1988,"none","pass"
"8973","alive","25-39","none","frontal","f",56,1998,"airbag","driver"
"7158","alive","25-39","none","frontal","m",19,1996,"airbag","pass"
"22201","alive","25-39","belted","frontal","m",59,2002,"airbag","driver"
"5487","alive","10-24","none","notfrontal","m",31,1997,"airbag","driver"
"6909","alive","40-54","none","frontal","m",30,1998,"airbag","driver"
"10979","alive","25-39","none","frontal","f",25,1994,"airbag","driver"
"20840","alive","10-24","belted","notfrontal","f",22,1992,"none","driver"
"22936","alive","25-39","belted","notfrontal","m",16,1994,"airbag","driver"
"15707","alive","25-39","belted","frontal","f",22,1995,"airbag","pass"
"13861","dead","55+","none","frontal","m",31,1987,"none","driver"
"2183","alive","10-24","belted","notfrontal","m",16,1990,"none","driver"
"10728","alive","10-24","belted","notfrontal","f",33,1998,"airbag","driver"
"7836","alive","10-24","belted","frontal","m",30,1998,"airbag","driver"
"13769","alive","25-39","none","frontal","f",48,1993,"airbag","driver"
"15389","alive","40-54","none","frontal","m",32,1995,"airbag","driver"
"19783","alive","10-24","belted","frontal","m",66,2000,"airbag","driver"
"4118","alive","10-24","belted","frontal","f",32,1989,"none","driver"
"25657","alive","10-24","belted","notfrontal","m",75,1999,"airbag","driver"
"17579","alive","25-39","none","frontal","m",23,1997,"airbag","driver"
"10125","alive","25-39","belted","notfrontal","m",23,1994,"airbag","driver"
"21453","alive","10-24","belted","notfrontal","f",24,1987,"none","driver"
"9672","alive","25-39","belted","frontal","m",33,1981,"none","driver"
"12290","alive","40-54","none","frontal","f",18,1998,"airbag","pass"
"6299","alive","10-24","none","frontal","m",48,1995,"none","driver"
"20796","alive","40-54","belted","frontal","f",43,1995,"airbag","driver"
"16745","alive","10-24","belted","notfrontal","f",57,1989,"none","driver"
"18737","alive","40-54","belted","frontal","m",21,1988,"none","driver"
"22693","alive","40-54","belted","frontal","f",16,2000,"airbag","driver"
"19863","alive","10-24","none","frontal","f",85,2000,"airbag","driver"
"9118","alive","10-24","none","frontal","m",17,1988,"none","driver"
"26010","alive","10-24","belted","frontal","f",78,1979,"none","driver"
"17770","alive","40-54","belted","frontal","f",24,1991,"none","driver"
"7797","alive","10-24","belted","notfrontal","m",17,1988,"none","driver"
"13147","alive","10-24","belted","notfrontal","f",35,1994,"airbag","driver"
"2637","alive","10-24","belted","notfrontal","m",36,1985,"none","driver"
"15333","alive","25-39","belted","frontal","f",18,1988,"none","driver"
"10778","alive","10-24","none","notfrontal","f",23,1986,"none","driver"
"4753","alive","25-39","belted","frontal","m",47,1995,"airbag","driver"
"264","alive","10-24","belted","notfrontal","m",62,1992,"airbag","driver"
"17688","alive","10-24","none","notfrontal","m",23,1998,"airbag","pass"
"18712","alive","25-39","belted","frontal","m",76,1987,"none","pass"
"23989","alive","10-24","belted","frontal","m",17,1999,"airbag","driver"
"24400","alive","10-24","none","notfrontal","m",25,1995,"airbag","driver"
"5308","alive","10-24","none","frontal","m",75,1990,"none","driver"
"1996","alive","10-24","none","frontal","f",48,1997,"airbag","driver"
"10947","alive","10-24","belted","notfrontal","f",21,1993,"none","driver"
"23170","alive","25-39","belted","frontal","f",21,1986,"none","driver"
"15122","alive","10-24","belted","frontal","f",30,1995,"airbag","driver"
"15552","alive","40-54","belted","frontal","m",18,1993,"none","driver"
"23515","alive","10-24","belted","frontal","f",80,1999,"airbag","driver"
"22310","alive","10-24","belted","notfrontal","m",25,1990,"none","driver"
"2552","alive","10-24","none","notfrontal","m",24,1994,"airbag","pass"
"24910","alive","25-39","belted","frontal","f",61,2001,"airbag","driver"
"9634","alive","55+","none","frontal","m",29,1993,"none","pass"
"15539","alive","10-24","belted","frontal","f",21,1993,"airbag","driver"
"11190","alive","10-24","belted","frontal","f",19,1997,"airbag","driver"
"23339","alive","10-24","belted","frontal","f",36,1997,"airbag","pass"
"10632","alive","10-24","belted","notfrontal","f",18,1998,"airbag","driver"
"17660","alive","10-24","none","frontal","m",33,1997,"airbag","driver"
"21317","alive","10-24","belted","frontal","f",75,1995,"airbag","driver"
"14654","alive","40-54","belted","notfrontal","f",16,1990,"none","driver"
"6971","alive","40-54","belted","frontal","f",18,1987,"none","driver"
"17008","alive","25-39","belted","frontal","m",67,1990,"airbag","driver"
"4718","alive","25-39","none","notfrontal","m",36,1992,"none","driver"
"8216","alive","10-24","belted","frontal","m",33,1996,"airbag","driver"
"4770","alive","10-24","belted","frontal","f",35,1993,"none","driver"
"1660","alive","10-24","belted","frontal","m",21,1989,"none","driver"
"15858","alive","10-24","belted","frontal","f",17,1999,"airbag","driver"
"2204","alive","1-9km/h","belted","frontal","m",19,1992,"airbag","driver"
"811","alive","10-24","belted","notfrontal","f",27,1996,"airbag","driver"
"24603","alive","10-24","none","notfrontal","m",35,1984,"none","driver"
"6232","alive","55+","belted","frontal","m",36,1988,"none","pass"
"1824","dead","25-39","none","notfrontal","m",44,1987,"none","driver"
"4780","alive","10-24","none","frontal","f",49,1991,"none","driver"
"18903","alive","55+","none","frontal","m",26,1991,"none","pass"
"4760","alive","25-39","belted","frontal","f",19,1995,"airbag","pass"
"24774","alive","25-39","belted","notfrontal","m",19,1994,"airbag","driver"
"14651","alive","10-24","none","frontal","f",51,1996,"airbag","driver"
"20034","alive","40-54","belted","frontal","m",31,1986,"none","driver"
"9014","alive","10-24","none","frontal","m",40,1997,"airbag","driver"
"10997","alive","25-39","none","frontal","m",21,1985,"none","pass"
"15474","alive","40-54","none","notfrontal","m",20,1988,"none","pass"
"23055","alive","25-39","belted","frontal","m",17,1991,"none","pass"
"24741","alive","10-24","none","frontal","f",19,2000,"airbag","pass"
"22347","alive","25-39","none","frontal","m",43,1995,"airbag","driver"
"19333","alive","55+","none","frontal","m",20,1993,"none","driver"
"5039","alive","10-24","belted","frontal","m",42,1996,"none","driver"
"21519","alive","10-24","belted","notfrontal","m",32,1996,"airbag","driver"
"2044","alive","25-39","none","frontal","f",26,1983,"none","driver"
"4771","alive","10-24","belted","notfrontal","m",84,1985,"none","driver"
"22807","alive","25-39","none","frontal","f",20,1995,"airbag","driver"
"25942","alive","25-39","belted","frontal","f",34,2003,"airbag","driver"
"12008","alive","10-24","belted","frontal","f",19,1993,"none","driver"
"10307","alive","10-24","belted","notfrontal","f",66,1994,"none","driver"
"9623","alive","25-39","belted","frontal","f",35,1987,"none","driver"
"12954","alive","25-39","belted","frontal","f",17,1989,"none","driver"
"17807","alive","10-24","none","notfrontal","f",53,1987,"none","driver"
"11025","alive","25-39","belted","frontal","f",37,1999,"airbag","driver"
"2078","alive","10-24","belted","notfrontal","f",47,1995,"airbag","driver"
"1186","alive","25-39","belted","frontal","m",30,1991,"none","driver"
"10247","alive","10-24","belted","frontal","m",66,1996,"airbag","driver"
"15409","alive","10-24","belted","frontal","m",50,1996,"airbag","driver"
"15648","alive","25-39","belted","notfrontal","f",22,1992,"none","driver"
"5114","alive","25-39","none","frontal","m",28,1992,"none","pass"
"6636","alive","25-39","belted","notfrontal","m",25,1991,"none","pass"
"18842","alive","25-39","belted","frontal","f",16,1999,"airbag","pass"
"19974","alive","25-39","belted","frontal","m",20,1991,"none","driver"
"7679","alive","1-9km/h","belted","frontal","f",52,1995,"airbag","driver"
"3796","dead","25-39","none","notfrontal","m",25,1982,"none","driver"
"23693","alive","25-39","belted","notfrontal","f",42,2001,"airbag","driver"
"19981","alive","10-24","belted","frontal","m",23,1993,"airbag","driver"
"8627","alive","25-39","belted","notfrontal","m",17,1991,"none","pass"
"8324","alive","10-24","belted","frontal","m",21,1993,"none","pass"
"10644","alive","25-39","none","frontal","m",24,1997,"airbag","driver"
"21240","alive","10-24","belted","notfrontal","m",20,1994,"airbag","driver"
"4191","alive","10-24","belted","notfrontal","m",46,1987,"none","driver"
"16584","alive","10-24","belted","notfrontal","f",20,1997,"airbag","pass"
"12017","alive","40-54","belted","frontal","m",50,1995,"airbag","driver"
"19881","alive","10-24","belted","frontal","f",27,1998,"airbag","driver"
"8689","alive","10-24","belted","notfrontal","f",54,1993,"airbag","driver"
"21213","alive","55+","belted","frontal","m",22,1994,"airbag","driver"
"11559","alive","40-54","none","frontal","f",24,1986,"none","pass"
"2287","alive","25-39","belted","frontal","m",22,1989,"none","driver"
"19982","alive","10-24","belted","frontal","f",22,1993,"none","pass"
"21829","alive","40-54","none","frontal","f",35,1986,"none","pass"
"257","alive","1-9km/h","belted","frontal","m",20,1989,"none","driver"
"25129","alive","25-39","none","frontal","f",28,1982,"none","pass"
"8171","dead","40-54","belted","notfrontal","m",21,1983,"none","driver"
"18100","alive","40-54","none","frontal","m",47,1990,"none","driver"
"3950","alive","10-24","belted","frontal","f",24,1994,"airbag","pass"
"10729","alive","10-24","belted","frontal","f",25,1992,"none","driver"
"11640","alive","10-24","belted","frontal","f",69,1989,"none","driver"
"20106","alive","25-39","belted","notfrontal","f",30,2000,"airbag","pass"
"20909","alive","10-24","belted","notfrontal","m",17,1991,"none","driver"
"18422","alive","25-39","none","notfrontal","f",39,1996,"airbag","driver"
"551","dead","25-39","none","frontal","m",50,1988,"none","driver"
"9368","alive","10-24","belted","frontal","m",47,1998,"airbag","driver"
"12481","alive","25-39","belted","frontal","m",61,1985,"none","driver"
"11923","alive","10-24","belted","frontal","m",33,1997,"airbag","driver"
"24341","alive","25-39","belted","frontal","m",41,1996,"airbag","driver"
"16644","alive","25-39","belted","frontal","m",40,1991,"none","driver"
"17103","dead","55+","none","frontal","f",23,1996,"airbag","driver"
"10898","alive","10-24","belted","notfrontal","m",43,1982,"none","driver"
"6844","alive","10-24","belted","frontal","f",59,1990,"airbag","driver"
"14305","alive","10-24","belted","notfrontal","m",20,2000,"airbag","driver"
"22019","alive","10-24","belted","frontal","m",46,1999,"airbag","driver"
"23901","alive","10-24","belted","notfrontal","m",18,1988,"none","driver"
"10404","alive","25-39","belted","frontal","m",27,1987,"none","pass"
"24995","alive","25-39","belted","frontal","m",66,1991,"none","driver"
"15768","alive","10-24","none","frontal","f",97,2000,"airbag","driver"
"16737","alive","25-39","none","frontal","m",19,1994,"none","driver"
"19669","alive","25-39","belted","notfrontal","f",28,1992,"none","driver"
"21337","alive","10-24","belted","frontal","m",33,2000,"airbag","driver"
"22071","alive","25-39","belted","notfrontal","m",33,1996,"airbag","driver"
"23595","alive","10-24","none","frontal","f",26,1993,"airbag","driver"
"25549","alive","40-54","belted","frontal","f",34,1986,"none","driver"
"13718","alive","25-39","belted","notfrontal","m",39,1998,"airbag","pass"
"25335","alive","25-39","none","frontal","m",19,1984,"none","driver"
"13299","alive","10-24","none","notfrontal","m",17,1979,"none","driver"
"24113","alive","10-24","belted","notfrontal","m",50,1992,"airbag","driver"
"20825","alive","10-24","belted","notfrontal","m",17,1995,"airbag","pass"
"9393","alive","10-24","belted","frontal","f",31,1998,"airbag","pass"
"20445","alive","55+","belted","frontal","m",75,1999,"airbag","driver"
"13544","alive","10-24","belted","notfrontal","f",18,1989,"none","pass"
"24183","alive","10-24","belted","frontal","f",49,1999,"airbag","driver"
"20331","alive","25-39","belted","frontal","m",25,1998,"airbag","driver"
"7765","alive","10-24","belted","frontal","m",31,1973,"none","driver"
"23648","alive","25-39","belted","frontal","m",61,2001,"airbag","driver"
"24940","alive","55+","belted","frontal","m",19,1994,"airbag","driver"
"8906","alive","40-54","none","frontal","f",39,1985,"none","driver"
"11930","alive","55+","none","notfrontal","f",37,1988,"none","driver"
"669","alive","10-24","belted","frontal","m",29,1997,"airbag","driver"
"1798","alive","25-39","none","frontal","m",19,1988,"none","driver"
"6587","alive","10-24","belted","notfrontal","m",47,1984,"none","driver"
"6805","alive","10-24","belted","notfrontal","f",24,1996,"airbag","driver"
"2378","alive","25-39","none","frontal","m",19,1994,"none","pass"
"13453","alive","25-39","none","notfrontal","f",25,1991,"none","pass"
"14725","alive","40-54","belted","notfrontal","m",53,1994,"airbag","driver"
"7109","alive","1-9km/h","belted","frontal","m",49,1994,"airbag","driver"
"1401","alive","25-39","belted","frontal","m",53,1995,"airbag","driver"
"7541","alive","10-24","none","frontal","f",24,1997,"airbag","driver"
"7798","alive","10-24","belted","notfrontal","m",19,1988,"none","pass"
"12335","alive","25-39","belted","frontal","f",18,1991,"none","pass"
"9051","alive","10-24","belted","frontal","m",44,1996,"airbag","driver"
"18601","alive","10-24","belted","frontal","f",47,1995,"airbag","driver"
"24847","alive","10-24","belted","frontal","f",40,1995,"airbag","driver"
"25697","alive","25-39","none","frontal","m",30,1999,"airbag","driver"
"23872","alive","25-39","none","frontal","f",20,1985,"none","driver"
"2920","alive","25-39","belted","frontal","f",47,1996,"airbag","driver"
"10652","alive","10-24","none","frontal","m",67,1987,"none","driver"
"25931","alive","10-24","belted","frontal","f",20,2002,"airbag","driver"
"11137","alive","10-24","belted","notfrontal","f",18,1996,"airbag","driver"
"17982","alive","25-39","none","frontal","f",28,2001,"airbag","driver"
"14221","alive","25-39","none","notfrontal","m",20,1995,"airbag","driver"
"11731","alive","40-54","none","frontal","f",35,1990,"none","driver"
"12981","alive","10-24","belted","frontal","f",35,1997,"airbag","driver"
"1279","alive","25-39","belted","frontal","m",56,1990,"none","driver"
"9960","alive","10-24","none","notfrontal","m",27,1987,"none","driver"
"19855","alive","10-24","none","frontal","f",16,1999,"airbag","pass"
"6381","alive","10-24","belted","notfrontal","f",39,1995,"airbag","driver"
"20743","alive","10-24","belted","frontal","f",20,2001,"airbag","pass"
"12308","alive","1-9km/h","belted","notfrontal","f",74,1989,"none","driver"
"7087","alive","10-24","belted","frontal","f",35,1988,"none","driver"
"24569","alive","10-24","none","notfrontal","m",56,1991,"none","driver"
"17851","alive","10-24","belted","frontal","f",69,1994,"airbag","driver"
"20359","alive","10-24","belted","notfrontal","f",25,1999,"airbag","driver"
"24418","alive","10-24","belted","notfrontal","m",81,2001,"airbag","driver"
"14556","alive","10-24","belted","notfrontal","m",64,1998,"airbag","driver"
"2715","alive","10-24","belted","frontal","f",16,1996,"airbag","driver"
"6577","alive","10-24","belted","frontal","f",25,1995,"airbag","driver"
"15753","alive","10-24","belted","notfrontal","m",28,2000,"airbag","driver"
"167","alive","10-24","belted","frontal","f",21,1992,"airbag","driver"
"10657","dead","55+","none","frontal","m",46,1988,"none","driver"
"2130","alive","10-24","belted","notfrontal","f",39,1994,"airbag","driver"
"17722","alive","25-39","none","notfrontal","f",23,1998,"airbag","driver"
"5351","alive","10-24","belted","frontal","m",36,1992,"airbag","driver"
"13197","alive","1-9km/h","belted","notfrontal","f",17,1998,"airbag","driver"
"20353","alive","25-39","belted","frontal","m",35,1985,"none","driver"
"25999","alive","10-24","belted","frontal","m",18,1995,"airbag","driver"
"20695","alive","25-39","none","frontal","m",30,1989,"none","driver"
"410","alive","40-54","none","frontal","m",49,1988,"none","driver"
"19851","alive","1-9km/h","belted","notfrontal","f",36,1997,"airbag","driver"
"3559","alive","40-54","none","notfrontal","f",29,1989,"none","driver"
"12300","alive","10-24","none","frontal","m",28,1983,"none","driver"
"10321","alive","25-39","belted","frontal","f",40,1994,"none","pass"
"23737","alive","40-54","belted","frontal","f",39,1994,"airbag","driver"
"3532","alive","55+","belted","frontal","m",17,1989,"none","driver"
"8551","dead","55+","none","frontal","m",23,1997,"airbag","driver"
"1867","alive","10-24","none","notfrontal","m",22,1995,"airbag","driver"
"1910","alive","10-24","belted","frontal","m",18,1992,"none","driver"
"22399","alive","10-24","belted","frontal","m",23,1994,"none","driver"
"3757","alive","40-54","none","frontal","m",22,1989,"none","driver"
"2388","alive","10-24","belted","frontal","m",47,1985,"none","pass"
"2965","alive","10-24","belted","frontal","f",20,1986,"none","driver"
"1120","alive","10-24","belted","notfrontal","f",38,1993,"none","driver"
"21957","alive","25-39","none","frontal","m",35,1995,"airbag","driver"
"1232","alive","10-24","belted","notfrontal","f",35,1989,"none","driver"
"15791","alive","10-24","belted","frontal","f",31,1993,"none","pass"
"6502","alive","10-24","none","notfrontal","f",40,1979,"none","driver"
"8209","alive","25-39","belted","frontal","m",54,1994,"none","driver"
"13682","alive","40-54","belted","frontal","m",47,1983,"none","driver"
"24255","alive","10-24","none","frontal","m",41,1998,"airbag","driver"
"21330","alive","25-39","belted","notfrontal","f",27,1999,"airbag","driver"
"17376","alive","25-39","none","frontal","f",46,1993,"none","pass"
"15181","alive","25-39","belted","frontal","f",39,1996,"airbag","driver"
"7409","alive","10-24","belted","frontal","m",52,1995,"airbag","driver"
"12587","alive","10-24","belted","notfrontal","m",57,1999,"airbag","driver"
"14213","alive","10-24","none","frontal","m",54,1993,"airbag","driver"
"20450","alive","1-9km/h","belted","frontal","m",40,1991,"none","driver"
"6836","alive","10-24","belted","notfrontal","f",19,1997,"airbag","driver"
"10291","alive","25-39","belted","frontal","f",25,1996,"airbag","driver"
"15219","alive","10-24","belted","frontal","f",69,1997,"airbag","pass"
"23783","alive","1-9km/h","belted","notfrontal","m",22,2000,"airbag","driver"
"15061","alive","10-24","belted","frontal","m",21,1994,"none","driver"
"8575","alive","25-39","none","frontal","f",36,1997,"airbag","pass"
"7389","alive","25-39","belted","notfrontal","m",36,1991,"airbag","driver"
"7305","alive","25-39","belted","frontal","f",26,1994,"none","driver"
"23391","alive","10-24","belted","frontal","f",36,2002,"airbag","driver"
